date,temp_avg,temp_max,temp_min,Precipitation,rain_flag,mist_flag,haze_flag
2017-01-01,48.5,52,45,0.05,1,0,0
2017-01-02,47.0,51,43,0.10,1,1,0
2017-01-03,52.5,58,47,0.40,1,1,0
2017-01-04,52.0,58,46,0.89,1,1,0
2017-01-05,46.0,50,42,0.01,1,0,0
2017-01-06,44.5,50,39,0.00,0,0,0
2017-01-07,52.0,60,44,0.82,1,1,1
2017-01-08,59.0,63,55,1.46,2,1,1
2017-01-09,56.0,59,53,0.17,1,1,0
2017-01-10,56.0,59,53,1.27,2,1,0
2017-01-11,51.0,55,47,0.13,1,0,0
2017-01-12,47.5,51,44,0.30,2,1,0
2017-01-13,49.5,57,42,0.00,0,0,0
2017-01-14,51.5,59,44,0.00,0,0,0
2017-01-15,48.0,53,43,0.00,0,0,1
2017-01-16,48.5,54,43,0.00,0,0,1
2017-01-17,47.5,52,43,0.00,0,0,0
2017-01-18,50.0,53,47,0.85,2,1,0
2017-01-19,53.0,57,49,0.21,1,0,0
2017-01-20,50.0,55,45,1.05,2,1,0
2017-01-21,51.5,55,48,0.46,1,0,0
2017-01-22,51.5,57,46,0.99,2,1,0
2017-01-23,49.0,53,45,0.26,1,0,0
2017-01-24,48.5,53,44,0.00,0,0,0
2017-01-25,49.0,55,43,0.00,0,0,0
2017-01-26,50.5,55,46,0.00,0,0,0
2017-01-27,53.0,59,47,0.00,0,0,0
2017-01-28,53.5,61,46,0.00,0,0,0
2017-01-29,54.0,62,46,0.00,0,0,0
2017-01-30,54.0,61,47,0.00,0,0,0
2017-01-31,53.0,59,47,0.00,0,1,0
2017-02-01,53.0,56,50,0.00,1,1,1
2017-02-02,56.0,62,50,0.12,1,1,0
2017-02-03,57.0,60,54,0.41,1,1,1
2017-02-04,56.0,59,53,0.28,1,1,0
2017-02-05,56.0,61,51,0.16,1,0,0
2017-02-06,56.0,58,54,0.50,1,1,1
2017-02-07,58.0,61,55,0.83,2,1,0
2017-02-08,59.5,63,56,0.34,1,1,1
2017-02-09,59.5,62,57,0.69,1,0,0
2017-02-10,55.0,60,50,0.08,1,1,0
2017-02-11,53.5,60,47,0.00,0,0,0
2017-02-12,55.5,64,47,0.00,0,0,0
2017-02-13,56.0,63,49,0.00,0,0,0
2017-02-14,59.0,67,51,0.00,0,0,0
2017-02-15,59.0,65,53,0.00,0,0,0
2017-02-16,59.0,63,55,0.36,1,1,0
2017-02-17,55.5,58,53,1.05,1,1,0
2017-02-18,53.0,55,51,0.12,2,1,0
2017-02-19,52.0,56,48,0.13,1,0,0
2017-02-20,56.0,59,53,1.83,2,1,0
2017-02-21,55.0,60,50,0.45,1,0,0
2017-02-22,49.5,54,45,0.00,0,0,0
2017-02-23,47.5,52,43,0.00,0,0,0
2017-02-24,47.5,54,41,0.01,1,0,0
2017-02-25,50.0,56,44,0.02,1,0,0
2017-02-26,49.5,56,43,0.17,1,0,0
2017-02-27,49.0,55,43,0.05,1,0,0
2017-02-28,50.5,57,44,0.00,0,0,0
2017-03-01,53.0,62,44,0.00,0,0,0
2017-03-02,55.5,65,46,0.00,0,0,0
2017-03-03,55.0,62,48,0.00,0,0,0
2017-03-04,54.5,60,49,1.05,2,1,1
2017-03-05,47.0,51,43,0.29,1,0,0
2017-03-06,48.5,55,42,0.39,1,1,0
2017-03-07,51.5,58,45,0.00,0,0,0
2017-03-08,55.5,63,48,0.00,0,0,0
2017-03-09,59.5,68,51,0.00,0,1,0
2017-03-10,61.5,70,53,0.00,0,0,0
2017-03-11,58.0,65,51,0.00,0,0,0
